"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"Berlaar",1430,760,0.531468531468531,"male","70_74",97,53,5,0,0,0,0,1,1,0
"Berlaar",1430,760,0.531468531468531,"female","70_74",110,59,5,0,0,0,0,1,0,1
"Berlare",1833,968,0.52809601745772,"male","50_54",310,125,1,1,0,0,0,0,1,0
"Berlare",1833,968,0.52809601745772,"female","50_54",280,141,1,1,0,0,0,0,0,1
"Berlare",1833,968,0.52809601745772,"male","55_59",241,120,2,0,1,0,0,0,1,0
"Berlare",1833,968,0.52809601745772,"female","55_59",217,123,2,0,1,0,0,0,0,1
"Berlare",1833,968,0.52809601745772,"male","60_64",159,98,3,0,0,1,0,0,1,0
"Berlare",1833,968,0.52809601745772,"female","60_64",149,90,3,0,0,1,0,0,0,1
"Berlare",1833,968,0.52809601745772,"male","65_69",109,66,4,0,0,0,1,0,1,0
"Berlare",1833,968,0.52809601745772,"female","65_69",130,79,4,0,0,0,1,0,0,1
"Berlare",1833,968,0.52809601745772,"male","70_74",108,53,5,0,0,0,0,1,1,0
"Berlare",1833,968,0.52809601745772,"female","70_74",130,73,5,0,0,0,0,1,0,1
"Bertem",1099,582,0.529572338489536,"male","50_54",161,84,1,1,0,0,0,0,1,0
"Bertem",1099,582,0.529572338489536,"female","50_54",172,84,1,1,0,0,0,0,0,1
"Bertem",1099,582,0.529572338489536,"male","55_59",128,51,2,0,1,0,0,0,1,0
"Bertem",1099,582,0.529572338489536,"female","55_59",130,49,2,0,1,0,0,0,0,1
"Bertem",1099,582,0.529572338489536,"male","60_64",92,57,3,0,0,1,0,0,1,0
"Bertem",1099,582,0.529572338489536,"female","60_64",99,62,3,0,0,1,0,0,0,1
"Bertem",1099,582,0.529572338489536,"male","65_69",83,51,4,0,0,0,1,0,1,0
"Bertem",1099,582,0.529572338489536,"female","65_69",86,59,4,0,0,0,1,0,0,1
"Bertem",1099,582,0.529572338489536,"male","70_74",60,34,5,0,0,0,0,1,1,0
"Bertem",1099,582,0.529572338489536,"female","70_74",88,51,5,0,0,0,0,1,0,1
"Bever",252,102,0.404761904761905,"male","50_54",49,18,1,1,0,0,0,0,1,0
"Bever",252,102,0.404761904761905,"female","50_54",34,13,1,1,0,0,0,0,0,1
"Bever",252,102,0.404761904761905,"male","55_59",29,13,2,0,1,0,0,0,1,0
"Bever",252,102,0.404761904761905,"female","55_59",26,15,2,0,1,0,0,0,0,1
"Bever",252,102,0.404761904761905,"male","60_64",22,9,3,0,0,1,0,0,1,0
"Bever",252,102,0.404761904761905,"female","60_64",30,10,3,0,0,1,0,0,0,1
"Bever",252,102,0.404761904761905,"male","65_69",21,9,4,0,0,0,1,0,1,0
"Bever",252,102,0.404761904761905,"female","65_69",17,7,4,0,0,0,1,0,0,1
"Bever",252,102,0.404761904761905,"male","70_74",13,2,5,0,0,0,0,1,1,0
"Bever",252,102,0.404761904761905,"female","70_74",11,6,5,0,0,0,0,1,0,1
"Beveren",5651,2997,0.530348610865334,"male","50_54",872,337,1,1,0,0,0,0,1,0
"Beveren",5651,2997,0.530348610865334,"female","50_54",792,395,1,1,0,0,0,0,0,1
"Beveren",5651,2997,0.530348610865334,"male","55_59",679,296,2,0,1,0,0,0,1,0
"Beveren",5651,2997,0.530348610865334,"female","55_59",673,358,2,0,1,0,0,0,0,1
"Beveren",5651,2997,0.530348610865334,"male","60_64",473,296,3,0,0,1,0,0,1,0
"Beveren",5651,2997,0.530348610865334,"female","60_64",468,301,3,0,0,1,0,0,0,1
"Beveren",5651,2997,0.530348610865334,"male","65_69",408,244,4,0,0,0,1,0,1,0
"Beveren",5651,2997,0.530348610865334,"female","65_69",438,281,4,0,0,0,1,0,0,1
"Beveren",5651,2997,0.530348610865334,"male","70_74",424,247,5,0,0,0,0,1,1,0
"Beveren",5651,2997,0.530348610865334,"female","70_74",424,242,5,0,0,0,0,1,0,1
"Bierbeek",1173,676,0.576300085251492,"male","50_54",193,85,1,1,0,0,0,0,1,0
"Bierbeek",1173,676,0.576300085251492,"female","50_54",141,73,1,1,0,0,0,0,0,1
"Bierbeek",1173,676,0.576300085251492,"male","55_59",120,58,2,0,1,0,0,0,1,0
"Bierbeek",1173,676,0.576300085251492,"female","55_59",142,79,2,0,1,0,0,0,0,1
"Bierbeek",1173,676,0.576300085251492,"male","60_64",129,90,3,0,0,1,0,0,1,0
"Bierbeek",1173,676,0.576300085251492,"female","60_64",96,58,3,0,0,1,0,0,0,1
"Bierbeek",1173,676,0.576300085251492,"male","65_69",94,66,4,0,0,0,1,0,1,0
