"naam","totinv","totpart","rate","sex","age","invited","participant"
"Blankenberge",2909,1310,0.450326572705397,"male","70_74",243,119
"Blankenberge",2909,1310,0.450326572705397,"female","70_74",293,157
"Bocholt",1533,963,0.628180039138943,"male","50_54",227,113
"Bocholt",1533,963,0.628180039138943,"female","50_54",213,123
"Bocholt",1533,963,0.628180039138943,"male","55_59",181,102
"Bocholt",1533,963,0.628180039138943,"female","55_59",197,124
"Bocholt",1533,963,0.628180039138943,"male","60_64",168,119
"Bocholt",1533,963,0.628180039138943,"female","60_64",146,108
"Bocholt",1533,963,0.628180039138943,"male","65_69",99,62
"Bocholt",1533,963,0.628180039138943,"female","65_69",112,85
"Bocholt",1533,963,0.628180039138943,"male","70_74",97,70
"Bocholt",1533,963,0.628180039138943,"female","70_74",93,57
"Boechout",1501,803,0.534976682211859,"male","50_54",215,94
"Boechout",1501,803,0.534976682211859,"female","50_54",226,105
"Boechout",1501,803,0.534976682211859,"male","55_59",170,73
"Boechout",1501,803,0.534976682211859,"female","55_59",183,91
"Boechout",1501,803,0.534976682211859,"male","60_64",136,85
"Boechout",1501,803,0.534976682211859,"female","60_64",147,95
"Boechout",1501,803,0.534976682211859,"male","65_69",107,72
"Boechout",1501,803,0.534976682211859,"female","65_69",117,73
"Boechout",1501,803,0.534976682211859,"male","70_74",113,63
"Boechout",1501,803,0.534976682211859,"female","70_74",87,52
"Bonheiden",1721,928,0.539221382916909,"male","50_54",270,124
"Bonheiden",1721,928,0.539221382916909,"female","50_54",252,104
"Bonheiden",1721,928,0.539221382916909,"male","55_59",231,110
"Bonheiden",1721,928,0.539221382916909,"female","55_59",184,95
"Bonheiden",1721,928,0.539221382916909,"male","60_64",137,81
"Bonheiden",1721,928,0.539221382916909,"female","60_64",190,134
"Bonheiden",1721,928,0.539221382916909,"male","65_69",114,68
"Bonheiden",1721,928,0.539221382916909,"female","65_69",116,79
"Bonheiden",1721,928,0.539221382916909,"male","70_74",112,63
"Bonheiden",1721,928,0.539221382916909,"female","70_74",115,70
"Boom",1673,629,0.375971309025702,"male","50_54",352,94
"Boom",1673,629,0.375971309025702,"female","50_54",266,95
"Boom",1673,629,0.375971309025702,"male","55_59",211,64
"Boom",1673,629,0.375971309025702,"female","55_59",209,69
"Boom",1673,629,0.375971309025702,"male","60_64",128,60
"Boom",1673,629,0.375971309025702,"female","60_64",133,69
"Boom",1673,629,0.375971309025702,"male","65_69",104,57
"Boom",1673,629,0.375971309025702,"female","65_69",94,46
"Boom",1673,629,0.375971309025702,"male","70_74",85,42
"Boom",1673,629,0.375971309025702,"female","70_74",91,33
"Boortmeerbeek",1400,701,0.500714285714286,"male","50_54",233,80
"Boortmeerbeek",1400,701,0.500714285714286,"female","50_54",185,83
"Boortmeerbeek",1400,701,0.500714285714286,"male","55_59",196,82
"Boortmeerbeek",1400,701,0.500714285714286,"female","55_59",179,88
"Boortmeerbeek",1400,701,0.500714285714286,"male","60_64",120,70
"Boortmeerbeek",1400,701,0.500714285714286,"female","60_64",131,91
"Boortmeerbeek",1400,701,0.500714285714286,"male","65_69",93,55
"Boortmeerbeek",1400,701,0.500714285714286,"female","65_69",86,49
"Boortmeerbeek",1400,701,0.500714285714286,"male","70_74",88,52
"Boortmeerbeek",1400,701,0.500714285714286,"female","70_74",89,51
"Borgloon",1417,671,0.473535638673253,"male","50_54",206,73
"Borgloon",1417,671,0.473535638673253,"female","50_54",205,85
"Borgloon",1417,671,0.473535638673253,"male","55_59",183,69
"Borgloon",1417,671,0.473535638673253,"female","55_59",181,91
"Borgloon",1417,671,0.473535638673253,"male","60_64",135,77
"Borgloon",1417,671,0.473535638673253,"female","60_64",124,75
"Borgloon",1417,671,0.473535638673253,"male","65_69",84,43
"Borgloon",1417,671,0.473535638673253,"female","65_69",97,48
"Borgloon",1417,671,0.473535638673253,"male","70_74",91,51
"Borgloon",1417,671,0.473535638673253,"female","70_74",111,59
"Bornem",2537,1319,0.519905400078833,"male","50_54",410,167
"Bornem",2537,1319,0.519905400078833,"female","50_54",366,170
"Bornem",2537,1319,0.519905400078833,"male","55_59",301,122
"Bornem",2537,1319,0.519905400078833,"female","55_59",298,145
"Bornem",2537,1319,0.519905400078833,"male","60_64",229,150
"Bornem",2537,1319,0.519905400078833,"female","60_64",240,137
"Bornem",2537,1319,0.519905400078833,"male","65_69",177,107
"Bornem",2537,1319,0.519905400078833,"female","65_69",158,102
"Bornem",2537,1319,0.519905400078833,"male","70_74",161,105
"Bornem",2537,1319,0.519905400078833,"female","70_74",197,114
"Borsbeek",1098,505,0.459927140255009,"male","50_54",174,52
"Borsbeek",1098,505,0.459927140255009,"female","50_54",160,58
"Borsbeek",1098,505,0.459927140255009,"male","55_59",137,54
"Borsbeek",1098,505,0.459927140255009,"female","55_59",134,62
"Borsbeek",1098,505,0.459927140255009,"male","60_64",100,62
"Borsbeek",1098,505,0.459927140255009,"female","60_64",78,44
"Borsbeek",1098,505,0.459927140255009,"male","65_69",82,46
"Borsbeek",1098,505,0.459927140255009,"female","65_69",78,44
"Borsbeek",1098,505,0.459927140255009,"male","70_74",70,40
"Borsbeek",1098,505,0.459927140255009,"female","70_74",85,43
"Boutersem",914,461,0.50437636761488,"male","50_54",135,61
"Boutersem",914,461,0.50437636761488,"female","50_54",149,68
"Boutersem",914,461,0.50437636761488,"male","55_59",128,52
"Boutersem",914,461,0.50437636761488,"female","55_59",124,63
"Boutersem",914,461,0.50437636761488,"male","60_64",73,42
"Boutersem",914,461,0.50437636761488,"female","60_64",66,47
"Boutersem",914,461,0.50437636761488,"male","65_69",53,34
"Boutersem",914,461,0.50437636761488,"female","65_69",54,23
"Boutersem",914,461,0.50437636761488,"male","70_74",75,37
"Boutersem",914,461,0.50437636761488,"female","70_74",57,34
"Brakel",1637,764,0.466707391569945,"male","50_54",256,89
"Brakel",1637,764,0.466707391569945,"female","50_54",252,115
"Brakel",1637,764,0.466707391569945,"male","55_59",233,91
"Brakel",1637,764,0.466707391569945,"female","55_59",192,103
"Brakel",1637,764,0.466707391569945,"male","60_64",133,71
"Brakel",1637,764,0.466707391569945,"female","60_64",135,81
"Brakel",1637,764,0.466707391569945,"male","65_69",111,60
"Brakel",1637,764,0.466707391569945,"female","65_69",115,69
"Brakel",1637,764,0.466707391569945,"male","70_74",95,37
"Brakel",1637,764,0.466707391569945,"female","70_74",115,48
"Brasschaat",4437,2407,0.542483660130719,"male","50_54",620,257
"Brasschaat",4437,2407,0.542483660130719,"female","50_54",653,301
"Brasschaat",4437,2407,0.542483660130719,"male","55_59",518,232
"Brasschaat",4437,2407,0.542483660130719,"female","55_59",532,292
"Brasschaat",4437,2407,0.542483660130719,"male","60_64",393,256
"Brasschaat",4437,2407,0.542483660130719,"female","60_64",447,295
"Brasschaat",4437,2407,0.542483660130719,"male","65_69",309,202
"Brasschaat",4437,2407,0.542483660130719,"female","65_69",351,239
"Brasschaat",4437,2407,0.542483660130719,"male","70_74",289,161
"Brasschaat",4437,2407,0.542483660130719,"female","70_74",325,172
"Brecht",3557,1973,0.554680910879955,"male","50_54",525,232
"Brecht",3557,1973,0.554680910879955,"female","50_54",549,271
"Brecht",3557,1973,0.554680910879955,"male","55_59",473,230
"Brecht",3557,1973,0.554680910879955,"female","55_59",446,256
"Brecht",3557,1973,0.554680910879955,"male","60_64",329,213
"Brecht",3557,1973,0.554680910879955,"female","60_64",337,219
"Brecht",3557,1973,0.554680910879955,"male","65_69",290,180
"Brecht",3557,1973,0.554680910879955,"female","65_69",225,146
"Brecht",3557,1973,0.554680910879955,"male","70_74",193,113
"Brecht",3557,1973,0.554680910879955,"female","70_74",190,113
"Bredene",2347,1235,0.526203664252237,"male","50_54",344,128
"Bredene",2347,1235,0.526203664252237,"female","50_54",313,154
"Bredene",2347,1235,0.526203664252237,"male","55_59",284,139
"Bredene",2347,1235,0.526203664252237,"female","55_59",295,156
"Bredene",2347,1235,0.526203664252237,"male","60_64",205,121
"Bredene",2347,1235,0.526203664252237,"female","60_64",205,135
"Bredene",2347,1235,0.526203664252237,"male","65_69",159,104
"Bredene",2347,1235,0.526203664252237,"female","65_69",198,120
"Bredene",2347,1235,0.526203664252237,"male","70_74",175,88
"Bredene",2347,1235,0.526203664252237,"female","70_74",169,90
"Bree",1889,1039,0.550026469031233,"male","50_54",268,112
"Bree",1889,1039,0.550026469031233,"female","50_54",276,126
"Bree",1889,1039,0.550026469031233,"male","55_59",266,116
"Bree",1889,1039,0.550026469031233,"female","55_59",239,116
"Bree",1889,1039,0.550026469031233,"male","60_64",173,109
"Bree",1889,1039,0.550026469031233,"female","60_64",157,109
"Bree",1889,1039,0.550026469031233,"male","65_69",128,84
